portalName,section,area,region,state,communities
"Region 1031",1,P,1031,Ca,"BALDWIN HILLS, LADERA HEIGHTS, VIEW PARK, INGLEWOOD, WEST ADAMS, FOX HILLS, MID WILSHIRE, WESTCHESTER, SOUTH LOS ANGELES, JEFFERSON PARK, LOS ANGELES"
"Region 1032",14,B,1032,Ca,"MOSCOW, RUSSIA"
"Region 104",12,C,104,Ne,ALBUQUERQUE
"Region 1046",12,D,1046,Ar,"AHWATUKEE, AHWATUKEE FOOTHILLS, CHANDLER, PHOENIX, SOUTH TEMPE, TEMPE, WEST CHANDLER, MARICOPA, GILBERT, MESA"
"Region 105",6,U,105,Ka,"BELLE PLAINE, HAYSVILLE, MULVANE, PECK, SOUTH WICHITA"
"Region 1052",13,G,1052,Vi,"HALIFAX COUNTY, SOUTH BOSTON"
"Region 1053",6,N,1053,Ne,"CALLAWAY, COZAD, EUSTIS, FARNAM, GOTHENBURG, LEXINGTON"
"Region 1056",6,B,1056,Mi,"BESSEMER, HURLEY - WI, IRONWOOD-MI, WAKEFIELD-MI"
"Region 106",11,Z,106,Ca,"BELLFLOWER, LAKEWOOD"
"Region 1065",11,Z,1065,Ca,"EAST LOS ANGELES, MONTEBELLO, MONTEREY PARK, PICO RIVERA, WHITTIER, ALHAMBRA"
"Region 107",2,N,107,Ca,"SAN CARLOS"
"Region 1073",3,T,1073,Ne,"MONROE, WOODBURY SCH DIST"
"Region 1075",12,C,1075,Ne,"SIERRA COUNTY, TRUTH OR CONSEQUENCE"
"Region 1077",5,D,1077,Te,"ATWOOD, BRUCETON, BRUCETON/HOLLOW ROCK, CAMDEN, CLARKSBURG, HUNTINGDON, MCKENZIE, MCLEMORESVILLE, TREZEVANT, YUMA"
"Region 1079",12,D,1079,Ar,"APACHE JUNCTION, GILBERT, GOLD CANYON, MESA, QUEEN CREEK, LAS SENDAS, RED MOUNTAIN, ARBOLEDA, THE GROVES, ALTA MESA, SAGUARO MOUNTAIN, MOUNTAIN BRIDGE, BOULDER MOUNTAIN, SUPERSTITION SPRINGS, AUGUSTA RANCH, KENSINGTON GROVE, LEHI, HIGLEY, EAST MESA, NORTH EAST MESA, THUNDER MOUNTAIN, GRANDVIEW ESTATES, HACIENDAS DEL ESTE, DESERT VISTA, GRANITE REEF, SPYGLASS ESTATES, LINDSAY PARK, HOMESTEAD, CYPRESS ESTATES, LEMONTREE, HACIENDA, MONTE VISTA, EASTRIDGE VILLAGES, CRISMON CREEK, SANTA RITA RANCH, DESERT SANDS, STONEGATE ESTATES, DESERT HARMONY, CARRIAGE MANOR, MOUNTAIN VIEW, SIERRA HEIGHTS, SONORAN PARK, SALERNO RANCH, SOUTH EAST MESA, A MESA"
"Region 108",2,N,108,Ca,"BELMONT, FOSTER CITY, HALF MOON BAY, REDWOOD CITY, REDWOOD SHORES, SAN MATEO"
"Region 1084",3,E,1084,Ne,"ALABAMA, BASOM, ELBA, OAKFIELD"
"Region 1088",13,D,1088,Pe,"ARMAGH, BLACKLICK, BLAIRSVILLE, BOLIVAR, BRUSHVALLEY, HOMER CITY, NEW FLORENCE, SEWARD"
"Region 1089",3,A,1089,Ne,"BOGOTA, CLIFFSIDE PARK, LEONIA, PALISADES PARK, EDGEWATER"
"Region 109",2,A,109,Ca,"ATHERTON, MENLO PARK"
"Region 1090",13,D,1090,Pe,"MT. SAVAGE, MIDLAND, LONACONING, BARTON, WESTERNPORT, GRANTSVILLE, CUMBERLAND, SPRINGS, SALISBURY, RIDGELEY, RAWLINGS, LAVALE, FINZEL, FROSTBURG, ECKHART MINES, MIDLOTHIAN, ELLERSLIE, CRESAPTOWN, LUKE, MEYERSDALE"
"Region 1091",13,G,1091,No,"CAMDEN COUNTY, ELIZABETH CITY, HERTFORD, PASQUOTANK COUNTY, PERQUIMANS COUNTY"
"Region 1092",7,A,1092,Ha,"KEAUKAHA, PANAGEWA"
"Region 1096",5,F,1096,Al,"ANDERSON, FLORENCE, KILLEN, LEXINGTON, ROGERSVILLE"
"Region 1097",8,D,1097,Mi,MARSHALL
"Region 1099",2,N,1099,Ca,"EL GRANADA, HALF MOON BAY, MONTARA, MOSS BEACH, PESCADERO"
"Region 110",2,N,110,Ca,"BURLINGAME, HILLSBOROUGH, SAN MATEO"
"Region 1100",13,Y,1100,Pe,LIBERTY
"Region 1101",3,G,1101,Ne,"BIG MOOSE, INLET &AMP; EAGLE BAY, OLD FORGE, OTTER LAKE, WOODGATE"
"Region 1103",6,E,1103,Io,"AMANA COLONIES, ATKINS, BELLE PLAINE, BLAIRSTOWN, BROOKLYN, GRINNELL, GUERNSEY, HARTWICK, LADORA, MALCOM, MARENGO, MONTEZUMA, NORWAY, OXFORD, TIFFIN, VAN HORNE, VICTOR, WILLAMSBURG"
"Region 1104",3,L,1104,Ne,ELLENVILLE
"Region 1106",8,F,1106,Mi,"CLIFFORD, KINGSTON, MARLETTE"
"Region 1109",6,B,1109,Wi,"ALMENA, CUMBERLAND, LUCK, TURTLELAKE, BARRONETT, BARRON"
"Region 111",11,L,111,Ca,"ALTA CAPISTRANO, CAPISTRANO BEACH, PALISADES, SAN CLEMENTE"
"Region 1111",2,D,1111,Ca,"ELVERTA, NATOMAS, NORTH HIGHLANDS, NORTH SACRAMENTO, RIO LINDA, ROBLA"
"Region 1112",6,E,1112,Io,"CEDAR RAPIDS, MARION, ROBINS, MOUNT VERNON, VINTON, HIAWATHA, ANAMOSA, LISBON, PALO, SPRINGVILLE, CENTER POINT, TODDVILLE, ALBURNETT, CENTRAL CITY, SHELLSBURG, SOLON, ELY, SWISHER, MARTELLE, GARRISON, MONTICELLO"
"Region 1117",13,C,1117,We,"HAMPSHIRE COUNTY"
"Region 112",1,U,112,Ca,"LA VERNE, SAN DIMAS"
"Region 1120",9,M,1120,Mo,TOWNSEND
"Region 1123",6,N,1123,Ne,"BEAVER CITY, ORLEANS, OXFORD"
"Region 113",7,O,113,Ha,KANEOHE
"Region 1132",12,A,1132,Ar,"BENSON, POMERENE, ST DAVID, TOMBSTONE"
"Region 1136",5,H,1136,Fl,"EAST MILTON, GULF BREEZE, HOLLY, NAVARRE, TIGER POINT"
"Region 1138",13,Y,1138,Pe,"BLOSSBURG, CHERRY FLATS, COVINGTON, MORRIS, MORRIS RUN"
"Region 114",11,Z,114,Ca,"LAKEWOOD, LONG BEACH, SIGNAL HILL, LOS ALAMITOS"
"Region 1143",3,B,1143,Co,BRIDGEPORT
"Region 1145",9,B,1145,Ut,"DRAPER, SANDY - SOUTH"
"Region 1149",2,A,1149,Ca,"EAST PALO ALTO, EASTERN MENLO PARK"
"Region 115",6,H,115,Wi,"BELOIT, BELVIDERE, CALEDONIA, CHERRY VALLEY, DAVIS, DURAND, LOVES PARK, MACHESNEY PARK, PECATONICA, POPLAR GROVE, ROCKFORD, ROCKTON, ROSCOE, STILLMAN VALLEY, WINNEBAGO, BYRON, JUDA"
"Region 1156",3,G,1156,Ne,REMSEN
"Region 1157",5,E,1157,So,"CROSS ANCHOR, ENOREE, MOORE, WOODRUFF"
"Region 1159",5,B,1159,Te,"ALCOA, BLOUNT CO, FRIENDSVILLE, LOUISVILLE, MARYVILLE, TOWNSEND, ROCKFORD, WALLAND"
"Region 116",11,S,116,Ca,"BONITA, EAST CHULA VISTA, EASTLAKE, OTAY RANCH, ROLLING HILLS"
"Region 1161",6,H,1161,Mi,"CLAYCOMO, EXCELSIOR SPRINGS, GLADSTONE, HOLT, KANSAS CITY, KEARNEY, LIBERTY, PLATTE CITY, PLEASANT VALLEY, RIVERSIDE, SMITHVILLE"
"Region 1162",8,F,1162,Mi,"AKRON, CARO, CASS CITY, CLIFFORD, COLLING, COLUMBIAVILLE, DECKER, DEFORD, EAST DAYTON, ELLINGTON, FAIRGROVE, FOSTORIA, GAGETOWN, GILFORD, JUNIATA, KINGSTON, MARLETTE, MAYVILLE, MILLINGTON, NORTH BRANCH, NORTH GROVE, OWENDALE, REESE, RICHVILLE, SEBAWAING, SILVERWOOD, SNOVER, TUSCOLA, UNIONVILLE, VASSAR, WAHJAMEGA, WATROUSVILLE, WILMONT, WISNER"
"Region 1163",8,A,1163,Mi,"ALMA, ASHLEY, BRECKENRIDGE, CARSON CITY, CRYSTAL, ITHACA, MAPLE RAPIDS, MIDDLETON, PERRINTON, ST. LOUIS, VESTABURG, WHEELER, BANNISTER, EDMORE, ELM HALL, ELWELL, MOUNT PLEASANT, NORTH STAR, POMPEII, RIVERDALE, SHEPHERD, SUMNER"
"Region 1165",5,I,1165,Te,"COCKE COUNTY, COSBY, DANDRIDGE, NEWPORT, GREENEVILLE, MOSHIEM, CHUCKEY"
"Region 1167",2,S,1167,Wa,"ARIEL, COUGAR, KALAMA, LA CENTER, WOODLAND, YALE, GREEN MOUNTAIN, AMBOY, YACOLT, BATTLE GROUND"
"Region 117",11,K,117,Ca,"COSTA MESA, FOUNTAIN VALLEY, SOU, GARDEN GROVE, HUNTINGTON BEACH"
"Region 1174",5,C,1174,Te,"BIG M FARMS AREA, CENTRAL AREA, CHASE AREA, ELORA COMMUNITY, GURLEY, HAZEL GREEN, KILLINGSWORTH COVE, LINCOLN COUNTY, MAYSVILLE, MERIDIANVILLE, MOORES MILL AREA, MOUNT CARMEL, NEW MARKET, RIVERTON, TONEY"
"Region 118",7,E,118,Ha,"AIEA, HONOLULU, MOANALUA, SALT LAKE, HALAWA, KALIHI, WAIMALU"
"Region 1184",13,C,1184,Vi,"ATLANTIC, CHINCOTEAGUE ISL., GREENBACKVILLE, NEW CHURCH, OAK HALL, PARKSLEY, TEMPERANCEVILLE, WALLOPS ISLAND, WATTSVILLE"
"Region 1187",2,C,1187,Ca,"AMERICAN CANYON, NAPA, VALLEJO"
"Region 119",7,E,119,Ha,"MILILANI, WAHIAWA"
"Region 1197",8,E,1197,Mi,"CENTREVILLE, CONSTANTINE, MENDON, THREE RIVERS, WHITE PIGEON"
"Region 12",1,F,12,Ca,"LOMITA, RANCHO PALOS VERDES, REDONDO BEACH, TORRANCE, HARBOR CITY, SAN PEDRO, COMPTON, LONG BEACH"
"Region 120",11,Q,120,Ca,"COSTA MESA, HUNTINGTON BEACH, NEWPORT BEACH, SANTA ANA, FOUNTAIN VALLEY"
"Region 1200",1,H,1200,Ca,"CATHEDRAL CITY, RANCHO MIRAGE, THOUSAND PALMS"
"Region 1201",9,M,1201,Mo,"ABSAROKEE, COLUMBUS, DEAN, FISHTAIL, MOLT, NYE, PARK CITY, RAPELJE, REED POINT, BIG TIMBER"
"Region 1203",13,A,1203,Pe,"CARROLLTOWN, HASTINGS, PATTON"
"Region 1204",6,C,1204,Il,"AURORA OAKHURST, AURORA FORESTVIEW, AURORA BRENTWOOD, AURORA LAKEWOOD, AURORA REBA STECK ES, AURORA MCCARTY ES"
"Region 1206",6,D,1206,Il,"CHICAGO-FAR NORTH, ROGERS PARK - EAST, ROGERS PARK - WEST, WEST RIDGE, UPTOWN, EDGEWATER, SKOKIE, EVANSTON, NORTH PARK, ALBANY PARK"
"Region 121",10,E,121,Ca,"SIMI VALLEY"
"Region 1210",6,H,1210,Mi,"ELLINGTON, ELLSNORE, FREMONT, VAN BUREN"
"Region 1212",14,L,1212,Fl,"BUNNELL, FLAGLER BCH, PALM COAST, ORMOND BEACH"
"Region 122",10,W,122,Ca,"GOLETA, MONTECITO, SANTA BARBARA"
"Region 1224",8,A,1224,Mi,"AMBLE, CORAL, LAKEVIEW, LANGSTON, STANTON, TRUFANT, MORLEY STANWOOD"
"Region 1225",9,B,1225,Co,"FOUNTAIN, WIDEFIELD, HANOVER, SECURITY, FORT CARSON, PETERSON AFB, COLORADO SPRINGS"
"Region 1231",12,A,1231,Ar,WILLCOX
"Region 1236",6,B,1236,Wi,"AMERY, CLAYTON, CLEAR LAKE, DEER PARK, TURTLE LAKE"
"Region 124",5,B,124,Te,"KNOXVILLE NORTHWEST, POWELL, HEISKELL, WEST HAVEN, FOUNTAIN CITY, HALLS, KARNS, NORTH KNOXVILLE, WEST HILLS, UT FORT SANDERS"
"Region 1247",13,B,1247,Pe,"CLARION, KNOX"
"Region 125",8,C,125,Mi,"CLINTON TOWNSHIP, MACOMB TOWNSHIP, MT CLEMENS, STERLING HEIGHTS, FRASER"
"Region 1256",8,F,1256,Mi,"AKRON, FAIRGROVE, GAGETOWN, OWENDALE, SEBEWAING, UNIONVILLE, WISNER"
"Region 1258",1,S,1258,Ne,"LAS VEGAS, SUMMERLIN"
"Region 126",9,B,126,Ut,"ALTA, COTTONWOOD HEIGHTS, HOLLADAY, MIDVALE, MURRAY, SALT LAKE CITY, SANDY"
"Region 1262",6,N,1262,Ne,"ARAPAHOE, CAMBRIDGE, HOLBROOK"
"Region 1264",6,H,1264,Mi,BROOKSIDE
"Region 1265",9,M,1265,Mo,"CLANCY, HELENA, JEFFERSON CITY, LEWIS &AMP; CLARK COUNTY"
"Region 1266",5,B,1266,Te,"BLOUNT COUNTY, BOYDS CREEK, KIMBERLIN HEIGHTS, KODAK, SEVIER COUNTY, SEYMOUR, JOHNSON UNIVERSITY"
"Region 1267",14,I,1267,Fl,CLEWISTON
"Region 127",11,R,127,Ca,"CARLSBAD, ESCONDIDO, OCEANSIDE, SAN MARCOS, VISTA"
"Region 1273",6,B,1273,Wi,"BURNETT COUNTY, GRANTSBURG, PINE COUNTY, SIREN, WEBSTER"
"Region 1275",6,U,1275,Ka,"AGRA, KENSINGTON, KIRWIN, LOGAN, LONG ISLAND, PHILLIPSBURG, PRAIRIE VIEW, SPEED"
"Region 1277",5,G,1277,Te,"MONROE COUNTY"
"Region 1278",8,C,1278,Mi,"ALMONT, DRYDEN, IMLAY CITY"
"Region 128",5,B,128,Te,"CEDAR BLUFF, CONCORD, FARRAGUT, HARDIN VALLEY, NORTHSHORE AREA, WEST KNOXVILLE"
"Region 1282",11,R,1282,Ca,"CARLSBAD, ELFIN FOREST, ENCINITAS, LA COSTA, OLIVENHAIN, SAN ELIJO, SAN MARCOS, OCEANSIDE, VISTA, SOLANA BEACH, CARDIFF"
"Region 1284",6,H,1284,Il,"BELVIDERE, GENOA, HERBERT, KINGSTON, VALLEY VIEW"
"Region 1285",8,F,1285,Mi,"CROSWELL, LEXINGTON"
"Region 1288",11,Z,1288,Ca,"COMPTON, LYNWOOD, PARAMOUNT, SOUTH GATE"
"Region 1289",8,D,1289,Mi,"BRANCH COUNTY"
"Region 129",10,O,129,Ca,"EXETER, FARMERSVILLE, IVANHOE, TULARE, VISALIA, WOODLAKE"
"Region 1294",8,E,1294,Mi,"CASSOPOLIS, JONES, MARCELLUS, VANDALIA"
"Region 1296",8,C,1296,Mi,"ALLENTON, BERLIN TOWNSHIP, BERVILLE, BROWN CITY, CAPAC, EMMETT, GOODELLS, LYNN TOWNSHIP, RILEY TOWNSHIP, YALE"
"Region 1298",8,A,1298,Mi,"HOWARD CITY, PIERSON, SAND LAKE"
"Region 13",1,C,13,Ca,"ALTADENA, FLINTRIDGE, LA CANADA, PASADENA, SIERRA MADRE"
"Region 130",1,N,130,Ca,"EAST HIGHLAND, HIGHLAND, SAN BERNARDINO"
"Region 1303",6,F,1303,Il,"ELMWOOD PARK, GALEWOOD, OAK PARK, RIVER FOREST, RIVER GROVE"
"Region 1304",1,C,1304,Ca,"BOYLE HEIGHTS, EAST LOS ANGELES, HOLLENBECK"
"Region 1308",8,A,1308,Mi,"MASON COUNTY"
"Region 1310",13,G,1310,Vi,"HAMPTON, NEWPORT NEWS"
"Region 1311",6,H,1311,Mi,"BIRCH TREE, EMINENCE, MOUNTAIN VIEW, SALEM"
"Region 1312",2,D,1312,Ca,"CAPAY, ESPARTO, MADISON"
"Region 1315",1,S,1315,Ne,"LAS VEGAS, MOUNTIANS EDGE"
"Region 1319",11,R,1319,Ca,"CITY HEIGHTS, SAN DIEGO"
"Region 1328",3,A,1328,Ne,"ASTORIA, FOREST HILLS, GREENPOINT, LONG ISLAND CITY, MASPETH, MIDDLE VILLAGE, RIDGEWOOD, SUNNYSIDE, WILLIAMSBURG, WOODHAVEN"
"Region 1329",6,B,1329,Wi,"BRULE, HAWTHORNE, IRON RIVER, LAKE NEBAGAMON, MAPLE, POPLAR, SOLON SPRINGS, SOUTH RANGE, SUPERIOR"
"Region 1332",13,D,1332,Pe,"CENTRAL CITY, SHADE, SHANKSVILLE, WILBUR"
"Region 1335",11,K,1335,Ca,"ANAHEIM HILLS, EAST ANAHEIM, ORANGE, ORANGE PARK ACRES, VILLA PARK, SANTA ANA"
"Region 1336",5,I,1336,Te,"BULLS GAP, MOORESBURG, ROGERSVILLE, SURGOINSVILLE, KYLES FORD, EIDSON, ST CLAIR"
"Region 1337",8,F,1337,Mi,"HARBOR BEACH"
"Region 1339",2,C,1339,Ca,"WALNUT CREEK"
"Region 134",3,E,134,Ne,"CLARK MILLS, CLINTON, DEANSBORO, FRANKLIN SPRINGS, NEW HARTFORD, SAUQUOIT, WHITESBORO"
"Region 1341",12,C,1341,Ne,"ELDORADO, MADRID, PECOS, POJOAQUE, SANTA FE"
"Region 1343",9,B,1343,Ut,"BLOOMINGTON, BLOOMINGTON HILLS, DAMERON/DIAMOND/WINC, DIXIE DOWNS/GREEN VA, LAVERKIN/HURRICANE, SANTA CLARA/IVINS, ST. GEORGE, WASHINGTON, WASHINGTON FIELDS, LITTLE VALLEY, CORAL CANYON"
"Region 1344",2,B,1344,Ca,"BRISBANE, COLMA, DALY CITY, SAN FRANCISCO, SOUTH SAN FRANCISCO"
"Region 1345",1,D,1345,Ca,"INGLEWOOD, LENNOX, LOS ANGELES, HAWTHORNE"
"Region 1347",11,Z,1347,Ca,"EAST LOS ANGELES, MONTEREY PARK, BOYLE HEIGHTS, LOS ANGELES, MONTEBELLO"
"Region 1350",8,B,1350,Mi,"DORR, HOPKINS"
"Region 1352",2,C,1352,Ca,STOCKTON
"Region 1354",8,A,1354,Mi,"FREMONT, HESPERIA, NEWAYGO"
"Region 136",1,G,136,Ca,"ALTA LOMA, BLOOMINGTON, ETIWANDA, FONTANA, ONTARIO, RANCHO CUCAMONGA, RIALTO, UPLAND"
"Region 1360",2,E,1360,Ca,"ALTURAS, CANBY, LIKELY, CEDARVILLE"
"Region 1363",12,B,1363,Ar,"HEBER, OVERGAARD"
"Region 1365",6,U,1365,Ka,"ALMENA, LENORA, NORTON, HILL CITY"
"Region 1367",6,B,1367,Wi,"CLAM FALLS, FREDERIC, LUCK, MILLTOWN"
"Region 1368",9,R,1368,Ut,"ENTERPRISE, HENEFER, MORGAN, MOUNTAIN GREEN, PETERSON, PORTERVILLE"
"Region 137",1,N,137,Ca,"HEMET, HOMELAND, IDYLLWILD, ROMOLAND, SAN JACINTO, WINCHESTER"
"Region 1370",14,I,1370,Fl,"BOCA RATON, BOYNTON BEACH, DELRAY BEACH, GREENACRES, LAKE WORTH, LANTANA, PALM BEACH, WELLINGTON, WEST PALM BEACH"
"Region 1373",5,F,1373,Al,"CLAYSVILLE, GRANT, NEW HOPE, SWEARENGIN, WOODVILLE"
"Region 1378",3,A,1378,Ne,"MANHATTAN EAST SIDE"
"Region 138",9,R,138,Ut,"BEAR RIVER CITY, BRIGHAM CITY, CORINNE, HONEYVILLE, MANTUA, PERRY, WILLARD, ELWOOD, TREMONTON"
"Region 1380",9,B,1380,Ut,"BLUEBELL, DUCHESNE, FORT DUCHESNE, MYTON, NEOLA, ROOSEVELT, LAPOINT"
"Region 1382",5,H,1382,Mi,"ANGIE, ENON, FRANKLINTON, PINE, THOMAS, TYLERTOWN"
"Region 1383",14,B,1383,Vi,"ST. CROIX, ST. JOHN, ST. THOMAS"
"Region 1386",6,N,1386,So,"BISON, LEMMON"
"Region 1388",13,A,1388,Pe,"BREEZEWOOD, CLEARVILLE, EVERETT"
"Region 1389",13,I,1389,Pe,"HANOVER, LITTLESTOWN"
"Region 139",3,T,139,Ne,"CHAPPAQUA, MILLWOOD"
"Region 1390",5,B,1390,Te,"EAST KNOX COUNTY, KNOXVILLE-EAST, SOUTH KNOXVILLE"
"Region 1391",8,J,1391,Mi,"ALLENDALE, COOPERSVILLE, GRAND HAVEN, HUDSONVILLE, STANDALE, WEST OLIVE, ZEELAND"
"Region 1392",13,A,1392,Pe,"ALTOONA, BALD EAGLE, PORT MATILDA, SPRUCE CREEK, TYRONE, WARRIORS MARK, BELLWOOD"
"Region 1393",12,E,1393,Te,"UTOPIA, VANDERPOOL LAKEY"
"Region 1395",3,G,1395,Ne,"DOLGEVILLE, MANHEIM, OPPENHEIM, SALISBURY, STRAFFORD"
"Region 1398",11,Q,1398,Ca,"ANAHEIM, BREA, FULLERTON, PLACENTIA, YORBA LINDA"
"Region 14",1,F,14,Ca,"TORRANCE WEST"
"Region 140",2,F,140,Ne,"CARSON CITY"
"Region 1403",9,M,1403,Mo,"CUT BANK"
"Region 1406",9,M,1406,Mo,CHOTEAU
"Region 1408",14,L,1408,Fl,"BUSHNELL, OXFORD, SUMTER COUNTY, WEBSTER, WILDWOOD"
"Region 141",3,T,141,Ne,"MAHOPAC, PEEKSKILL, PUTNAM VALLEY, TOWN OF COURTLAND, YORKTOWN HEIGHTS, SHRUB OAK"
"Region 1410",12,B,1410,Ar,"ASHFORK, CHINO VALLEY, DRAKE, PAULDEN, WILLIAMSON VALLEY"
"Region 1411",8,B,1411,Mi,"FENNVILLE, GLENN, PULLMAN, SPRING GROVE, PIER COVE"
"Region 1415",12,G,1415,Ok,"BOISE CITY"
"Region 1416",10,A,1416,Ca,"MCFARLAND, DELANO, RICHGROVE"
"Region 142",13,D,142,Pe,"SOMERSET COUNTY"
"Region 1421",10,D,1421,Ca,"BARSTOW, HELENDALE, ORO GRANDE"
"Region 1422",11,L,1422,Ca,"LAGUNA HILLS"
"Region 1426",2,E,1426,Or,"ADEL, BLY, LAKEVIEW, PAISLEY, PLUSH"
"Region 1429",10,O,1429,Ca,"CUTLER, OROSI"
"Region 143",11,K,143,Ca,"HUNTINGTON BCH WEST, SUNSET BEACH, WESTMINSTER"
"Region 1430",10,V,1430,Ca,"ARLETA, LAKE VIEW TERRACE, MISSION HILLS, NORTH HILLS, PACOIMA, PANORAMA CITY, SAN FERNANDO, SUN VALLEY, SYLMAR"
"Region 1434",12,E,1434,Te,"GAINESVILLE, MARIETTA, MUENSTER, SAINT JO, SANGER, THACKERVILLE, VALLEY VIEW, WHITESBORO"
"Region 1435",12,G,1435,Ok,"CHECOTAH, EUFAULA, FORT GIBSON, HASKELL, MUSKOGEE, OKTAHA, SUMMIT, WAGONER, WARNER"
"Region 1437",6,B,1437,Wi,"ST CROIX FALLS"
"Region 1438",6,F,1438,Il,"WESTCHESTER, HILLSIDE, MAYWOOD, BROADVIEW, BERKELEY, BELLWOOD, OAK BROOK"
"Region 144",11,Q,144,Ca,"IRVINE SOUTH"
"Region 1440",12,B,1440,Ar,"MOENKOPI, TUBA CITY"
"Region 1441",10,S,1441,Ca,"CASTAIC, VAL VERDE"
"Region 1443",12,E,1443,Te,LAREDO
"Region 1447",12,C,1447,Ne,"CORRALES, RIO RANCHO, WEST ALBUQUERQUE"
"Region 1449",2,S,1449,Wa,GOLDENDALE
"Region 145",2,B,145,Ca,MILLBRAE
"Region 1450",14,B,1450,TT,"MALABAR ARIMA, SANGRE GRANDE, SAMAROO VILLAGE, SANTA ROSA, PORT OF SPAIN, DABADIE, AROUCA, VALENCIA, FIVE RIVERS, SAN FERNANDO, TABAQUITE, BROTHERS ROAD"
"Region 1451",13,A,1451,Pe,"ASHVILLE, CRESSON, DYASRT, GALLITIZIN, LILLY, LORETTO, PORTAGE"
"Region 1452",14,I,1452,Fl,"LAKE PARK"
"Region 1454",3,G,1454,Ne,"BRASHER FALLS"
"Region 1455",11,L,1455,Ca,"LADERA RANCH, LAS FLORES, WAGON WHEEL, COTO DE CAZA, SENDERO, ESENCIA"
"Region 1457",6,N,1457,Ne,IMPERIAL
"Region 1458",1,S,1458,Ne,"AMARGOSA VALLEY"
"Region 1459",5,D,1459,Lo,"PARRISH, VERNON"
"Region 146",2,B,146,Ca,"COLMA, DALY CITY, SAN FRANCISCO, SAN FRANCISCO SOUTH, SAN BRUNO, MILLBRAE, PACIFICA, ANTIOCH"
"Region 1461",2,C,1461,Ca,RICHMOND
"Region 1463",1,R,1463,Ca,"FRENCH VALLEY, LAKE ELSINORE, MURRIETA, TEMECULA, WILDOMAR, WINCHESTER"
"Region 1466",6,A,1466,Wi,"ANTIOCH, BRISTOL, GURNEE, INGLESIDE, LAKE VILLA, LINDERHURST, MILBOURN, PELL LAKE, RICHMOND, SALEM, SILVER LAKE, SPRING GROVE, TREVOR"
"Region 1468",6,E,1468,Io,"CENTER POINT, URBANA, WALKER"
"Region 1469",6,B,1469,Mi,"BEROUN, BRAHAM, BROOK PARK, GRASSTON, PINE CITY, ROCK CREEK, RUSH CITY, STANCHFIELD"
"Region 147",10,W,147,Ca,"CASITAS SPRINGS, MEINERS OAKS, MIRA MONTE, OAK VIEW, OJAI"
"Region 1471",8,A,1471,Mi,"CRYSTAL, GOWEN, GREENVILLE, SHERIDAN, TURK LAKE"
"Region 1472",8,A,1472,Mi,"BAILEY, CASNOVIA, GRANT, KENT CITY, RAVENNA"
"Region 1475",13,G,1475,Vi,CHESAPEAKE
